Reference,Title,Treatment,Source URL,Bibliographic entry,Reason
1,Design Vulnerability in Electric Power System,PDF may be committed,https://www.nrc.gov/docs/ML1204/ML120480170.pdf,"U.S. Nuclear Regulatory Commission, “Design Vulnerability in Electric Power System,” Information Notice 2012-03, Mar. 1, 2012, ADAMS Accession No. ML120480170.",NRC U.S. Government work; retain source credit.
2,Methods for Analyzing and Detecting an Open Phase Condition of a Power Circuit to a Nuclear Plant Station Service or Startup Transformer,Link only,https://www.pes-psrc.org/kb/report/023.pdf,"IEEE Power System Relaying and Control Committee, “Methods for Analyzing and Detecting an Open Phase Condition of a Power Circuit to a Nuclear Plant Station Service or Startup Transformer,” Working Group Report, 2020.","Full PDF is publicly accessible, but no explicit redistribution license was located."
3,Open-Phase Detection for Station Auxiliary Transformers,Link only,https://wprcarchives.org/wp-content/uploads/2024/04/Elkader_Ahmed_Open-Phase-Detection-for-Station-Auxiliary-Transformers_20181016.pdf,"A. Abd-Elkader, D. Cox, and H. Chaluvadi, “Open-Phase Detection for Station Auxiliary Transformers,” in Proc. 45th Annual Western Protective Relay Conf., 2018.",Public WPRC PDF; no explicit redistribution license located. See citation-order note below.
4,Open phase detection for power transformers using VT triggered optical CTs and IEC 61850-9.2LE compliant relays,Link only,https://wprcarchives.org/wp-content/uploads/2024/04/Blake_Jim_OPEN-PHASE-DETECTION-FOR-POWER-TRANSFORMERS-USING-VT-TRIGGERED-OPTICAL-CTS-AND-IEC-61850-9.2LE-COMPLIANT-RELAYS_2016.pdf,"J. Blake, E. Hadley, D. Stewart, A. Rose, C. Vo, J. Schaefer, A. Baker, M. Putt, and A. Ishola-Salawu, “Open phase detection for power transformers using VT triggered optical CTs and IEC 61850-9.2LE compliant relays,” in Proc. Western Protective Relay Conf., 2016.",Public WPRC PDF; no explicit redistribution license located.
5,Methods and systems for open-phase detection in power transformers,PDF may be committed,https://patentimages.storage.googleapis.com/27/05/3e/7936d1193a5348/US10802084.pdf,"J. Blake, “Methods and systems for open-phase detection in power transformers,” U.S. Patent 10,802,084 B2, Oct. 13, 2020.","USPTO states patent text/drawings are typically not subject to copyright restrictions, subject to limited exceptions."
6,Residual current-based method for open phase detection in radial and multi-source power systems,Link only,https://doi.org/10.1016/j.ijepes.2019.105610,"A. C. Adewole, A. Rajapakse, D. Ouellette, and P. Forsyth, “Residual current-based method for open phase detection in radial and multi-source power systems,” Int. J. Electr. Power Energy Syst., vol. 117, Art. no. 105610, May 2020, doi: 10.1016/j.ijepes.2019.105610.",Publisher-controlled journal article; no open redistribution license located.
7,"A three-phase comprehensive methodology to analyze short circuits, open circuits and internal faults of transformers based on the compensation theorem",Link only,https://doi.org/10.1016/j.ijepes.2017.09.039,"A. Eslami, “A three-phase comprehensive methodology to analyze short circuits, open circuits and internal faults of transformers based on the compensation theorem,” Int. J. Electr. Power Energy Syst., vol. 96, pp. 238–252, Mar. 2018, doi: 10.1016/j.ijepes.2017.09.039.",Publisher-controlled journal article; no open redistribution license located.
8,Alternative approaches and dynamic analysis considerations for detecting open phase conductors in three phase power systems,Link only,https://doi.org/10.1016/j.epsr.2018.05.012,"R. M. Carritte, K. Cheung, and M. Malik, “Alternative approaches and dynamic analysis considerations for detecting open phase conductors in three phase power systems,” Electr. Power Syst. Res., vol. 163, pp. 59–65, Oct. 2018, doi: 10.1016/j.epsr.2018.05.012.",Publisher-controlled journal article; no open redistribution license located.
9,Matrix representation of three-phase N-winding transformers for steady-state and transient studies,Link only,https://doi.org/10.1109/TPAS.1982.317184,"V. Brandwajn, H. W. Dommel, and I. I. Dommel, “Matrix representation of three-phase N-winding transformers for steady-state and transient studies,” IEEE Trans. Power App. Syst., vol. PAS-101, no. 6, pp. 1369–1378, Jun. 1982, doi: 10.1109/TPAS.1982.317184.","An author-uploaded copy is publicly viewable, but it is marked as potentially subject to copyright."
10,Symmetrical Components for Power Systems Engineering,Link only,https://www.routledge.com/Symmetrical-Components-for-Power-Systems-Engineering/author/p/book/9780824787677,"J. L. Blackburn, Symmetrical Components for Power Systems Engineering. Boca Raton, FL, USA: CRC Press, 1993.",Copyrighted CRC Press book.
11,Industrial Power Distribution,Link only,https://doi.org/10.1002/9781119065180,"R. E. Fehr III, Industrial Power Distribution, 2nd ed. Hoboken, NJ, USA: Wiley-IEEE Press, 2015, doi: 10.1002/9781119065180.",Wiley/IEEE copyrighted book; publisher states all rights reserved.
12,Method of symmetrical co-ordinates applied to the solution of polyphase networks,PDF may be committed,https://zenodo.org/records/1557391,"C. L. Fortescue, “Method of symmetrical co-ordinates applied to the solution of polyphase networks,” Trans. AIEE, vol. 37, no. 2, pp. 1027–1140, 1918.",1918 U.S. publication is public domain in the United States; Zenodo hosts a full scan.
13,BCTRAN Transformer Data Calculation Function,Link only,https://www.emtp.com/documents/EMTP-Documentation/doc/transformers/bctran/bctran.pdf,"EMTP, “BCTRAN Transformer Data Calculation Function,” EMTP-EMTPWorks transformer documentation, 2005.",Freely accessible vendor documentation; no explicit redistribution license located.
